Gyógyszer neve;Hatóanyag;ATC-kód;Forgalomba hozatali eng. jogosultja;Nyilvántartási szám;Kiszerelés;Kiadhatóság;KP besorolás;Státusz;Engedélyezés dátuma;Törlés dátuma;
131I-MIBG 20 MBq/ml oldatos injekció;m-Radioiodo-benzylguanidinium-[131I]-sulfuricum (MIBG);V09IX02;Izotóp Intézet Kft.;OGYI-T-09205;1 X 20  MBq , 1 X 40  MBq , 1 X 80  MBq ;I  ;;TK;2004.02.02;..;
131I-MIBG 370 MBq/ml oldatos injekció;m-Radioiodo-benzylguanidinium-[131I]-sulfuricum (MIBG);V10XA02;Izotóp Intézet Kft.;OGYI-T-09197;1 X 10 ml injekciós üvegben;I  ;;TK;2004.01.23;..;
14C-HELIZO kemény kapszula;[14C] Carbamidum;V09HX;Izotóp Intézet Kft.;OGYI-T-09142;10 X   - ;I  ;;TK;2003.12.15;..;
16% HUMAN GAMMA-GLOBULIN oldatos injekció;immunglobulin (humán);J06BA01;Human BioPlazma Kft.;OGYI-T-09769;1 X 2 ml ampulla, 1 X 5 ml injekciós üvegben;J  ;;TT;2004.09.21;2021.03.30;
1FLUART szuszpenziós injekció;vakcina (virális);J07BB01;FLUART Innovative Vaccines Kft;OGYI-T-20970;1 X 0.5 ml ampulla, 20 X 0.5 ml ampulla, 500 X 0.5 ml ampulla;V ;;TK;2009.07.24;..;
3FLUART szuszpenziós injekció;vakcina (virális);J07BB01;FLUART Innovative Vaccines Kft;OGYI-T-08998;1 X 0.5 ml ampulla, 20 X 0.5 ml ampulla;V ;;TK;2015.06.09;..;
5-FLUOROURACIL SANDOZ  50 mg/ml koncentrátum oldatos infúzióhoz;fluorouracil;L01BC02;Sandoz Hungária Kft.;OGYI-T-07514;1 X 10 ml ampulla, 1 X 10 ml injekciós üvegben, 1 X 100 ml injekciós üvegben, 1 X 20 ml injekciós üvegben, 1 X 5 ml ampulla, 1 X 5 ml injekciós üvegben, 5 X 10 ml ampulla, 5 X 10 ml injekciós üvegben, 5 X 5 ml ampulla, 5 X 5 ml injekciós üvegben;I ;;TK;2000.07.13;..;
99;bilastine;R06AX29;Menarini International Operations Luxembourg S.A.;OGYI-T-21640;1 X 120 ml üvegben;V ;;TK;2017.07.26;..;
ABACAVIR/LAMIVUDINE ACCORD 600 mg/300 mg filmtabletta;abacavir, lamivudine;J05AR02;Accord Healthcare Polska Sp. z o.o.;OGYI-T-23000;30 X   - buborékcsomagolásban, 30 X   - tartályban, 90 X   - buborékcsomagolásban;Sz ;;TT;2016.04.04;2021.02.04;
ABACAVIR/LAMIVUDINE STADA 600 mg/300 mg filmtabletta;abacavir, lamivudine;J05AR02;Stada Arzneimittel AG;OGYI-T-23002;3 X 30 - buborékcsomagolásban, 30 X   - buborékcsomagolásban, 30 X   - tartályban;Sz ;;TT;2016.04.04;2021.10.01;
ABACAVIR/LAMIVUDINE TEVA 600 mg/300 mg filmtabletta;abacavir, lamivudine;J05AR02;Teva Gyógyszergyár Zrt.;OGYI-T-23042;30 X   - buborékcsomagolásban, 90 X   - buborékcsomagolásban;Sz ;;TK;2016.06.01;..;
Abasaglar 100 egység/ml KwikPen oldatos injekció elõretöltött injekciós tollban;insulin glargine;A10AE04;Eli Lilly Nederland B.V.;EU/1/14/944;10 X 3 ml elõretöltött injekciós tollban, 10 X 3 ml elõretöltött injekciós tollban, 5 X 3 ml elõretöltött injekciós tollban, 5 X 3 ml elõretöltött injekciós tollban;J ;;CTK;2014.09.09;..;
Abasaglar 100 egység/ml oldatos injekció elõretöltött injekciós tollban;insulin glargine;A10AE04;Eli Lilly Nederland B.V.;EU/1/14/944;1 X 3 ml elõretöltött injekciós tollban, 1 X 3 ml elõretöltött injekciós tollban, 2 X 3 ml elõretöltött injekciós tollban, 2 X 3 ml elõretöltött injekciós tollban;J ;;ATT;2014.09.09;2020.09.25;
Abasaglar 100 egység/ml oldatos injekció patronban;insulin glargine;A10AE04;Eli Lilly Nederland B.V.;EU/1/14/944;1 X 3 ml patronban, 10 X 3 ml patronban, 2 X 3 ml patronban, 2x5 X 3 ml patronban, 5 X 3 ml patronban;J ;;CTK;2014.09.09;..;
Abasaglar 100 egység/ml Tempo Pen oldatos injekció elõretöltött injekciós tollban;insulin glargine;A10AE04;Eli Lilly Nederland B.V.;EU/1/14/944;10 X 3 ml elõretöltött injekciós tollban, 5 X 3 ml elõretöltött injekciós tollban;J ;;CTK;2020.07.23;..;
ABAXAN 500 mg filmtabletta;abiraterone acetate ;L02BX03;Mensana Pharma Ltd.;OGYI-T-24143;56 X   - buborékcsomagolásban, 60 X   - buborékcsomagolásban;Sz ;;TK;2022.10.25;..;
Abecma 260 – 500 × 10^6 sejt diszperziós infúzió;idecabtagene vicleucel;L01;Bristol-Myers Squibb Pharma EEIG;EU/1/21/1539;1 vagy több X 100 ml infúziós zsákban;I ;;CTK;2021.08.18;..;
ABELCET 5 mg/ml szuszpenziós infúzió;amphotericin B;J02AA01;Teva Gyógyszergyár Zrt.;OGYI-T-06918;; ;;ATT;1999.01.01;2024.04.24;
ABELCET LIPID KOMPLEX 5 mg/ml koncentrátum diszperziós infúzióhoz;amphotericin B;J02AA01;Teva Gyógyszergyár Zrt.;OGYI-T-06918;10 X 20 ml injekciós üvegben;I  ;;TK;1999.01.01;..;
Abevmy 25 mg/ml koncentrátum oldatos infúzióhoz;bevacizumab;L01XC07;Biosimilar Collaborations Ireland Limited;EU/1/20/1515;1 X 16 ml injekciós üvegben, 1 X 4 ml injekciós üvegben, 2 X 16 ml injekciós üvegben, 3 X 16 ml injekciós üvegben, 5 X 4 ml injekciós üvegben;I ;;CTK;2021.04.21;..;
Abies nigra golyócskák (  5CH);;;BOIRON;OGYI-HGAL-47C5;1 X 4 g multi dose;VN ;;TK;1996.01.01;..;
Abies nigra golyócskák (  6CH);;;BOIRON;OGYI-HGAL-47C6;1 X 4 g multi dose;VN ;;TK;1996.01.01;..;
Abies nigra golyócskák (  9CH);;;BOIRON;OGYI-HGAL-47C9;1 X 4 g multi dose;VN ;;TK;1996.01.01;..;
Abies nigra golyócskák ( 12CH);;;BOIRON;OGYI-HGAL-47C12;1 X 4 g multi dose;VN ;;TK;1996.01.01;..;
Abies nigra golyócskák ( 15CH);;;BOIRON;OGYI-HGAL-47C15;1 X 4 g multi dose;VN ;;TK;1996.01.01;..;
Abies nigra golyócskák ( 30CH);;;BOIRON;OGYI-HGAL-47C30;1 X 4 g multi dose;VN ;;TK;1996.01.01;..;
Abies nigra golyócskák (200CH);;;BOIRON;OGYI-HGAL-47C200;1 X 4 g multi dose;VN ;;TK;1996.01.01;..;
Abilify 1 mg/ml belsõleges oldat;aripiprazole;N05AX12;Otsuka Pharmaceutical Netherlands B.V.;EU/1/04/276;1 X 150  ml , 1 X 480  ml , 1 X 50  ml ;Sz ;;CTK;2004.06.04;..;
Abilify 10 mg szájban diszpergálódó tabletta;aripiprazole;N05AX12;Otsuka Pharmaceutical Netherlands B.V.;EU/1/04/276;14 X 1 - adagonként perforált buborékcsomagolásban, 28 X 1 - adagonként perforált buborékcsomagolásban, 49 X 1 - adagonként perforált buborékcsomagolásban;Sz ;;CTK;2004.06.04;..;
Abilify 10 mg tabletta;aripiprazole;N05AX12;Otsuka Pharmaceutical Netherlands B.V.;EU/1/04/276;14 X 1 - adagonként perforált buborékcsomagolásban, 28 X 1 - adagonként perforált buborékcsomagolásban, 49 X 1 - adagonként perforált buborékcsomagolásban, 56 X 1 - adagonként perforált buborékcsomagolásban, 98 X 1 - adagonként perforált buborékcsomagolásban;Sz ;;CTK;2004.06.04;..;
Abilify 15 mg szájban diszpergálódó tabletta;aripiprazole;N05AX12;Otsuka Pharmaceutical Netherlands B.V.;EU/1/04/276;14 X 1 - adagonként perforált buborékcsomagolásban, 28 X 1 - adagonként perforált buborékcsomagolásban, 49 X 1 - adagonként perforált buborékcsomagolásban;Sz ;;CTK;2004.06.04;..;
Abilify 15 mg tabletta;aripiprazole;N05AX12;Otsuka Pharmaceutical Netherlands B.V.;EU/1/04/276;14 X 1 - adagonként perforált buborékcsomagolásban, 28 X 1 - adagonként perforált buborékcsomagolásban, 49 X 1 - adagonként perforált buborékcsomagolásban, 56 X 1 - adagonként perforált buborékcsomagolásban, 98 X 1 - adagonként perforált buborékcsomagolásban;Sz ;;CTK;2004.06.04;..;
Abilify 30 mg szájban diszpergálódó tabletta;aripiprazole;N05AX12;Otsuka Pharmaceutical Netherlands B.V.;EU/1/04/276;14 X 1 - adagonként perforált buborékcsomagolásban, 28 X 1 - adagonként perforált buborékcsomagolásban, 49 X 1 - adagonként perforált buborékcsomagolásban;Sz ;;CTK;2004.06.04;..;
Abilify 30 mg tabletta;aripiprazole;N05AX12;Otsuka Pharmaceutical Netherlands B.V.;EU/1/04/276;14 X 1 - adagonként perforált buborékcsomagolásban, 28 X 1 - adagonként perforált buborékcsomagolásban, 49 X 1 - adagonként perforált buborékcsomagolásban, 56 X 1 - adagonként perforált buborékcsomagolásban, 98 X 1 - adagonként perforált buborékcsomagolásban;Sz ;;CTK;2004.06.04;..;
Abilify 5 mg szájban diszpergálódó tabletta;aripiprazole;N05AX12;Otsuka Pharmaceutical Europe Ltd.;EU/1/04/276;;Sz ;;CTT;2004.06.04;2007.06.05;
Abilify 5 mg tabletta;aripiprazole;N05AX12;Otsuka Pharmaceutical Netherlands B.V.;EU/1/04/276;14 X 1 - adagonként perforált buborékcsomagolásban, 28 X 1 - adagonként perforált buborékcsomagolásban, 49 X 1 - adagonként perforált buborékcsomagolásban, 56 X 1 - adagonként perforált buborékcsomagolásban, 98 X 1 - adagonként perforált buborékcsomagolásban;Sz ;;CTK;2004.06.04;..;
Abilify 7,5 mg/ml oldatos injekció;aripiprazole;N05AX12;Otsuka Pharmaceutical Netherlands B.V.;EU/1/04/276;1 X 1.3 ml ;I ;;CTK;2004.06.04;..;
Abilify Maintena 300 mg por és oldószer retard szuszpenziós injekcióhoz;aripiprazole;N05AX12;Otsuka Pharmaceutical Netherlands B.V.;EU/1/13/882;1 X   - porüveg+oldószerüveg, 3 X   - porüveg+oldószerüveg;Sz ;;CTK;2013.11.15;..;
Abilify Maintena 300 mg por és oldószer retard szuszpenziós injekcióhoz elõretöltött fecskendõben;aripiprazole;N05AX12;Otsuka Pharmaceutical Netherlands B.V.;EU/1/13/882;1 X   - elõretöltött fecskendõben, 3 X   - elõretöltött fecskendõben;Sz ;;CTK;2015.06.19;..;
Abilify Maintena 400 mg por és oldószer retard szuszpenziós injekcióhoz;aripiprazole;N05AX12;Otsuka Pharmaceutical Netherlands B.V.;EU/1/13/882;1 X   - porüveg+oldószerüveg, 3 X   - porüveg+oldószerüveg;Sz ;;CTK;2013.11.15;..;
Abilify Maintena 400 mg por és oldószer retard szuszpenziós injekcióhoz elõretöltött fecskendõben;aripiprazole;N05AX12;Otsuka Pharmaceutical Netherlands B.V.;EU/1/13/882;1 X   - elõretöltött fecskendõben, 3 X   - elõretöltött fecskendõben;Sz ;;CTK;2015.06.19;..;
Abilify Maintena 720 mg retard szuszpenziós injekció elõretöltött fecskendõben;aripiprazole;N05AX12;Otsuka Pharmaceutical Netherlands B.V.;EU/1/13/882;1 X 2.4 ml elõretöltött fecskendõben;Sz ;;CTK;2024.04.10;..;
Abilify Maintena 960 mg retard szuszpenziós injekció elõretöltött fecskendõben;aripiprazole;N05AX12;Otsuka Pharmaceutical Netherlands B.V.;EU/1/13/882;1 X 3.2 ml elõretöltött fecskendõben;Sz ;;CTK;2024.04.10;..;
Abiralan 250 mg tablets (Working title during the procedure) (Tablet 250 mg);abiraterone acetate ;L02BX03;;;;Sz ;;TT;..;..;
ABIRATERON STADA 500 mg filmtabletta;abiraterone acetate ;L02BX03;Stada Arzneimittel AG;OGYI-T-23885;10 X   - buborékcsomagolásban, 10 X   - buborékcsomagolásban, 10 X 1 - adagonként perforált buborékcsomagolásban, 10 X 1 - adagonként perforált buborékcsomagolásban, 112 X   - buborékcsomagolásban, 112 X   - buborékcsomagolásban, 112 X 1 - adagonként perforált buborékcsomagolásban, 112 X 1 - adagonként perforált buborékcsomagolásban, 14 X   - buborékcsomagolásban, 14 X   - buborékcsomagolásban, 14 X 1 - adagonként perforált buborékcsomagolásban, 14 X 1 - adagonként perforált buborékcsomagolásban, 56 X   - buborékcsomagolásban, 56 X   - buborékcsomagolásban, 56 X 1 - adagonként perforált buborékcsomagolásban, 56 X 1 - adagonként perforált buborékcsomagolásban, 60 X   - buborékcsomagolásban, 60 X   - buborékcsomagolásban, 60 X 1 - adagonként perforált buborékcsomagolásban, 60 X 1 - adagonként perforált buborékcsomagolásban;Sz ;;TK;2021.05.27;..;
ABIRATERON TEVA 500 mg filmtabletta;abiraterone acetate ;L02BX03;Teva B.V.;OGYI-T-24070;56 X   - buborékcsomagolásban, 56 X 1 - adagonként perforált buborékcsomagolásban;Sz ;;TK;2022.06.08;..;
ABIRATERON ZENTIVA 250 mg tabletta;abiraterone acetate ;L02BX03;Zentiva, k.s.;OGYI-T-23862;120 X   - HDPE tartályban;Sz ;;TT;2021.04.27;2022.11.16;
ABIRATERON ZENTIVA 500 mg filmtabletta;abiraterone acetate ;L02BX03;Zentiva, k.s.;OGYI-T-23862;56 X   - buborékcsomagolásban, 56 X   - buborékcsomagolásban, 56 X 1 - adagonként perforált buborékcsomagolásban, 56 X 1 - adagonként perforált buborékcsomagolásban, 60 X   - buborékcsomagolásban, 60 X   - buborékcsomagolásban, 60 X   - HDPE tartályban, 60 X 1 - adagonként perforált buborékcsomagolásban, 60 X 1 - adagonként perforált buborékcsomagolásban;Sz ;;TK;2021.04.27;..;
Abiraterone Accord 250 mg tabletta;abiraterone;L02BX03;Accord Healthcare S.L.U.;EU/1/20/1512;120 X   - HDPE tartályban;Sz ;;CTK;2021.04.26;..;
Abiraterone Accord 500 mg filmtabletta;abiraterone;L02BX03;Accord Healthcare S.L.U.;EU/1/20/1512;112 X 1 - adagonként perforált buborékcsomagolásban, 56 X 1 - adagonként perforált buborékcsomagolásban, 60 X 1 - adagonként perforált buborékcsomagolásban;Sz  ;;CTK;2021.04.26;..;
ABIRATERONE G.L. 500 mg filmtabletta;abiraterone acetate ;L02BX03;G.L. Pharma GmbH;OGYI-T-23877;60 X   - HDPE tartályban, 60 X 1 - buborékcsomagolásban, 60 X 1 - buborékcsomagolásban;Sz ;;TK;2021.05.13;..;
Abiraterone Krka 500 mg filmtabletta;abiraterone;L02BX03;Krka d.d.,;EU/1/21/1553;56 X   - buborékcsomagolásban, 56 X   - buborékcsomagolásban, 60 X   - buborékcsomagolásban;Sz ;;CTK;2021.06.24;..;
Abiraterone Mylan  500 mg filmtabletta;abiraterone;L02BX03;Mylan Pharmaceuticals Limited;EU/1/21/1571;56 X   - buborékcsomagolásban, 56 X   - buborékcsomagolásban, 56 X 1 - adagonként perforált buborékcsomagolásban, 56 X 1 - adagonként perforált buborékcsomagolásban, 60 X   - buborékcsomagolásban, 60 X   - buborékcsomagolásban, 60 X 1 - adagonként perforált buborékcsomagolásban, 60 X 1 - adagonként perforált buborékcsomagolásban;Sz ;;CTK;2021.08.20;..;
Abiraterone Mylan 1000 mg filmtabletta;abiraterone;L02BX03;Mylan Pharmaceuticals Limited;EU/1/21/1571;28 X   - buborékcsomagolásban, 28 X   - HDPE tartályban, 28 X   - HDPE tartályban, 28 X 1 - adagonként perforált buborékcsomagolásban, 30 X   - buborékcsomagolásban, 30 X   - HDPE tartályban, 30 X   - HDPE tartályban, 30 X 1 - adagonként perforált buborékcsomagolásban;Sz ;;CTK;2021.08.20;..;
ABIRATERONE PHARMASCIENCE 500 mg filmtabletta;abiraterone acetate ;L02BX03;Pharmascience International Ltd.;OGYI-T-24033;60 X   - átlátszó buborékcsomagolásban;Sz ;;TK;2022.03.21;..;
ABIRATERONE QILU 250 mg tabletta;abiraterone acetate ;L02BX03;Qilu Pharma Spain S.L.;OGYI-T-24062;120 X   - HDPE tartályban;Sz ;;TK;2022.05.26;..;
ABIRATERONE QILU 500 mg filmtabletta;abiraterone acetate ;L02BX03;Qilu Pharma Spain S.L.;OGYI-T-24062;56 X   - buborékcsomagolásban, 56 X   - buborékcsomagolásban;Sz ;;TK;2022.05.26;..;
ABIRATERONE RICHTER 500 mg filmtabletta;abiraterone acetate ;L02BX03;Richter Gedeon Nyrt.;OGYI-T-23854;60 X   - buborékcsomagolásban;Sz ;;TK;2021.04.20;..;
ABIRATERONE SANDOZ  500 mg filmtabletta;abiraterone acetate ;L02BX03;Sandoz Hungária Kft.;OGYI-T-23883;112 X   - buborékcsomagolásban, 112 X   - buborékcsomagolásban, 112 X 1 - adagonként perforált buborékcsomagolásban, 112 X 1 - adagonként perforált buborékcsomagolásban, 56 X   - buborékcsomagolásban, 56 X   - buborékcsomagolásban, 56 X 1 - adagonként perforált buborékcsomagolásban, 56 X 1 - adagonként perforált buborékcsomagolásban, 60 X   - buborékcsomagolásban, 60 X   - buborékcsomagolásban, 60 X   - HDPE tartályban, 60 X 1 - adagonként perforált buborékcsomagolásban, 60 X 1 - adagonként perforált buborékcsomagolásban, 84 X   - buborékcsomagolásban, 84 X   - buborékcsomagolásban, 84 X 1 - adagonként perforált buborékcsomagolásban, 84 X 1 - adagonként perforált buborékcsomagolásban;Sz ;;TK;2021.05.21;..;
ABIRATERONE SANDOZ 1000 mg filmtabletta;abiraterone acetate ;L02BX03;Sandoz Hungária Kft.;OGYI-T-23883;2 X (30x1) - adagonként perforált buborékcsomagolásban, 2 X 30 - buborékcsomagolásban, 28 X   - buborékcsomagolásban, 28 X 1 - adagonként perforált buborékcsomagolásban, 3 X (28x1) - adagonként perforált buborékcsomagolásban, 3 X (30x1) - adagonként perforált buborékcsomagolásban, 3 X 28 - buborékcsomagolásban, 3 X 30 - buborékcsomagolásban, 30 X   - buborékcsomagolásban, 30 X   - HDPE tartályban, 30 X   - HDPE tartályban, 30 X 1 - adagonként perforált buborékcsomagolásban, 56 X   - buborékcsomagolásban, 56 X 1 - adagonként perforált buborékcsomagolásban;Sz ;;TK;2021.06.16;..;
ABIRATERONE VIPHARM 500 mg filmtabletta;abiraterone acetate ;L02BX03;Vipharm S.A.;OGYI-T-23997;56 X   - buborékcsomagolásban, 56 X   - buborékcsomagolásban, 56 X 1 - adagonként perforált buborékcsomagolásban, 56 X 1 - adagonként perforált buborékcsomagolásban, 60 X   - buborékcsomagolásban, 60 X   - buborékcsomagolásban, 60 X   - HDPE tartályban, 60 X 1 - adagonként perforált buborékcsomagolásban, 60 X 1 - adagonként perforált buborékcsomagolásban;Sz ;;TK;2022.01.21;..;
ABOXOMA 2,5 mg filmtabletta;apixaban;B01AF02;Krka d.d.,;OGYI-T-23958;10 X   - buborékcsomagolásban, 100 X   - buborékcsomagolásban, 14 X   - buborékcsomagolásban, 168 X   - buborékcsomagolásban, 20 X   - buborékcsomagolásban, 200 X   - buborékcsomagolásban, 28 X   - buborékcsomagolásban, 56 X   - buborékcsomagolásban, 60 X   - buborékcsomagolásban;J ;;TK;2021.10.14;..;
ABOXOMA 5 mg filmtabletta;apixaban;B01AF02;Krka d.d.,;OGYI-T-23958;10 X   - buborékcsomagolásban, 100 X   - buborékcsomagolásban, 14 X   - buborékcsomagolásban, 168 X   - buborékcsomagolásban, 20 X   - buborékcsomagolásban, 200 X   - buborékcsomagolásban, 28 X   - buborékcsomagolásban, 56 X   - buborékcsomagolásban, 60 X   - buborékcsomagolásban;J ;;TK;2021.10.14;..;
Abraxane 5 mg/ml por diszperziós infúzióhoz;paclitaxel;L01CD01;Bristol-Myers Squibb Pharma EEIG;EU/1/07/428;1 X 100 mg injekciós üvegben, 1 X 250 mg injekciós üvegben;I ;;CTK;2008.01.11;..;
Abraxane 5 mg/ml por szuszpenziós infúzióhoz;paclitaxel;L01CD01;Bristol-Myers Squibb Pharma EEIG;EU/1/07/428;; ;;ATT;2008.01.11;2021.04.15;
Abrysvo por és oldószer oldatos injekcióhoz;vakcina;J07BX05;Pfizer Europe MA EEIG ;EU/1/23/1752;1 X 0.5 ml injekciós üvegben, 1 X 0.5 ml injekciós üvegben, 10 X 0.5  ml injekciós üvegben, 10 X 0.5 ml injekciós üvegben, 10 X 0.5 ml injekciós üvegben, 5 X 0.5 ml injekciós üvegben, 5 X 0.5 ml injekciós üvegben, 5 X 0.5 ml injekciós üvegben;V ;;CTK;2023.08.23;..;
Abseamed  1000 NE/0,5 ml oldatos injekció elõretöltött fecskendõben;epoetin alfa;B03XA01;Medice Arzneimittel Pütter GmbH & Co. KG;EU/1/07/412;1 X   - elõretöltött fecskendõben, 1 X   - elõretöltött fecskendõben, 6 X   - elõretöltött fecskendõben, 6 X   - elõretöltött fecskendõben;Sz ;;CTK;2007.08.28;..;
